// select treasure_Type, tier from treasure_death order by treasure_Type;
1,4
2,6
3,3
4,2
5,5
6,1
7,4
8,6
9,3
10,2
11,5
12,1
13,4
14,6
15,3
16,2
17,5
18,1
19,4
20,6
21,3
22,2
23,5
24,1
25,4
26,6
27,3
28,2
29,5
30,1
31,4
32,6
33,3
34,2
35,5
36,1
48,3
59,4
62,3
63,2
64,3
65,2
69,2
72,3
77,2
81,1
83,1
86,3
87,5
88,3
89,3
90,3
91,2
94,2
95,3
96,2
97,4
106,3
108,4
111,3
113,3
115,3
116,3
123,3
126,3
127,1
132,2
134,2
138,2
140,3
142,1
143,2
144,3
145,2
146,5
147,3
148,4
149,5
150,4
151,2
154,5
155,5
156,1
157,5
159,3
161,4
162,3
164,2
166,3
171,3
172,2
173,2
174,3
176,4
177,3
179,4
180,3
181,3
182,3
183,5
184,3
188,2
190,4
191,1
193,2
197,2
200,5
201,4
204,5
217,4
221,4
227,3
230,2
231,3
232,2
233,3
235,4
236,3
238,3
239,3
240,4
242,2
243,4
244,3
245,4
246,3
252,4
253,3
254,4
255,5
256,5
257,5
258,3
259,4
260,4
261,4
262,3
263,4
264,5
265,3
266,5
267,4
308,4
309,4
310,6
312,5
313,3
314,3
315,5
316,2
317,5
318,5
319,4
320,4
328,4
329,4
334,5
338,6
339,4
340,3
341,5
342,3
343,3
344,3
345,4
346,3
347,4
348,5
349,6
350,6
351,6
352,4
353,5
354,4
355,5
356,2
357,5
358,5
359,3
360,4
361,6
362,5
363,3
365,3
375,5
390,2
391,5
395,2
397,1
405,2
406,4
407,5
408,3
409,5
410,2
411,3
412,4
413,5
414,1
420,6
421,6
422,6
448,4
449,6
450,3
451,2
452,5
453,1
454,5
455,6
456,3
457,2
458,5
459,1
460,5
461,6
462,3
463,2
464,5
465,1
951,4
962,4
982,6
988,5
998,7
999,7
1000,7
1001,7
1002,7
1003,7
1004,7
2000,7
