// select treasure_Type, weenie_Class_Id, palette_Id, shade, stack_Size, probability from treasure_wielded order by treasure_Type;
37,273,0,0,200,1
37,258,0,0,0,0.3
37,265,0,0,0,0.5
37,259,0,0,10,0.5
37,547,0,0,2,0.3
37,260,0,0,0,1
37,549,0,0,0,0.4
37,297,0,0,0,0.3
37,294,0,0,0,0.1
37,1442,0,0,0,0.1
38,4753,0,0,2,1
39,4753,0,0,1,1
40,1446,0,0,2,1
41,1446,0,0,1,1
42,1446,0,0,1,1
43,4753,0,0,1,1
44,1437,0,0,10,0.33
44,1438,0,0,0,0.33
44,1481,0,0,0,0.33
45,1437,0,0,10,0.33
45,1438,0,0,0,0.33
45,1481,0,0,0,0.33
46,322,0,0,0,0.03
46,333,0,0,0,0.03
46,338,0,0,0,0.04
46,342,0,0,0,0.08
46,357,0,0,0,0.08
46,303,0,0,0,0.09
46,308,0,0,0,0.12
46,348,0,0,0,0.13
46,325,0,0,0,0.17
46,309,0,0,0,0.38
46,320,0,0,2,0.01
46,310,0,0,3,0.01
46,317,0,0,0,0.01
46,320,0,0,2,0.01
46,310,0,0,3,0.01
47,304,0,0,3,0.01
47,310,0,0,3,0.01
47,301,0,0,0,0.15
47,309,0,0,0,0.05
47,313,0,0,0,0.1
47,322,0,0,0,0.03
47,325,0,0,0,0.05
47,331,0,0,0,0.1
47,332,0,0,0,0.15
47,333,0,0,0,0.03
47,342,0,0,0,0.1
47,344,0,0,0,0.1
47,356,0,0,0,0.1
49,301,0,0,0,0.15
49,309,0,0,0,0.05
49,313,0,0,0,0.1
49,322,0,0,0,0.03
49,325,0,0,0,0.05
49,331,0,0,0,0.1
49,332,0,0,0,0.15
49,333,0,0,0,0.03
49,342,0,0,0,0.1
49,344,0,0,0,0.1
49,356,0,0,0,0.1
49,304,0,0,3,0.01
49,310,0,0,3,0.01
50,1446,0,0,1,0.12
50,1452,0,0,1,0.12
50,1445,0,0,1,0.12
50,1448,0,0,1,0.12
50,1447,0,0,1,0.12
50,1449,0,0,1,0.12
50,1450,0,0,1,0.14
50,1451,0,0,1,0.14
51,273,0,0,100,1
52,301,0,0,0,0.1
52,309,0,0,0,0.08
52,313,0,0,0,0.1
52,325,0,0,0,0.07
52,331,0,0,0,0.1
52,332,0,0,0,0.2
52,342,0,0,0,0.1
52,344,0,0,0,0.1
52,356,0,0,0,0.1
52,304,0,0,4,0.01
52,310,0,0,4,0.01
53,1247,0,0,0,1
53,1437,0,0,12,1
53,72,0,0,0,1
53,1446,0,0,3,1
54,301,0,0,0,0.1
54,309,0,0,0,0.08
54,313,0,0,0,0.1
54,325,0,0,0,0.07
54,331,0,0,0,0.1
54,332,0,0,0,0.2
54,342,0,0,0,0.1
54,344,0,0,0,0.1
54,356,0,0,0,0.1
54,304,0,0,3,0.01
54,310,0,0,3,0.01
55,301,0,0,0,0.1
55,309,0,0,0,0.08
55,313,0,0,0,0.1
55,325,0,0,0,0.07
55,331,0,0,0,0.1
55,332,0,0,0,0.2
55,342,0,0,0,0.1
55,344,0,0,0,0.1
55,356,0,0,0,0.1
55,304,0,0,3,0.01
55,310,0,0,3,0.01
56,322,0,0,0,0.03
56,333,0,0,0,0.03
56,338,0,0,0,0.04
56,342,0,0,0,0.08
56,357,0,0,0,0.08
56,303,0,0,0,0.09
56,308,0,0,0,0.1
56,348,0,0,0,0.1
56,325,0,0,0,0.1
56,309,0,0,0,0.1
56,320,0,0,4,0.1
56,310,0,0,5,0.1
56,317,0,0,0,0.05
57,322,0,0,0,0.03
57,333,0,0,0,0.03
57,338,0,0,0,0.04
57,342,0,0,0,0.08
57,357,0,0,0,0.08
57,303,0,0,0,0.09
57,308,0,0,0,0.12
57,348,0,0,0,0.13
57,325,0,0,0,0.17
57,309,0,0,0,0.38
57,320,0,0,2,0.01
57,310,0,0,3,0.01
57,317,0,0,0,0.01
58,1249,0,0,0,1
60,4753,0,0,2,1
61,4753,0,0,2,1
66,1531,0,0,0,1
67,1446,0,0,1,0.12
67,1452,0,0,1,0.12
67,1445,0,0,1,0.12
67,1448,0,0,1,0.12
67,1447,0,0,1,0.12
67,1449,0,0,1,0.12
67,1450,0,0,1,0.14
67,1451,0,0,1,0.14
68,308,0,0,0,0.03
68,309,0,0,0,0.03
68,313,0,0,0,0.03
68,314,0,0,0,0.03
68,303,0,0,0,0.03
68,319,0,0,0,0.01
68,321,0,0,0,0.03
68,325,0,0,0,0.03
68,326,0,0,0,0.03
68,328,0,0,0,0.03
68,329,0,0,0,0.02
68,331,0,0,0,0.03
68,352,0,0,0,0.03
68,342,0,0,0,0.03
68,345,0,0,0,0.03
68,348,0,0,0,0.03
68,356,0,0,0,0.05
68,361,0,0,0,0.05
68,362,0,0,0,0.03
68,316,0,0,10,0.02
68,343,0,0,10,0.03
68,315,0,0,6,0.03
68,320,0,0,4,0.05
68,317,0,0,0,0.05
68,310,0,0,5,0.05
68,304,0,0,5,0.05
70,308,0,0,0,0.05
70,309,0,0,0,0.05
70,313,0,0,0,0.05
70,314,0,0,0,0.05
70,303,0,0,0,0.05
70,319,0,0,0,0.02
70,321,0,0,0,0.05
70,325,0,0,0,0.05
70,326,0,0,0,0.05
70,328,0,0,0,0.05
70,329,0,0,0,0.03
70,331,0,0,0,0.05
70,352,0,0,0,0.05
70,342,0,0,0,0.05
70,345,0,0,0,0.05
70,348,0,0,0,0.05
70,356,0,0,0,0.1
70,361,0,0,0,0.15
70,362,0,0,0,0.05
70,316,0,0,10,0.1
70,343,0,0,10,0.05
70,315,0,0,6,0.1
70,320,0,0,4,0.1
70,317,0,0,0,0.1
70,310,0,0,5,0.25
70,304,0,0,5,0.25
71,23731,0,0,0,0.5
71,23701,0,0,0,0.25
71,23697,0,0,0,0.25
73,5088,0,0,1,0.16
73,5089,0,0,1,0.16
73,5090,0,0,1,0.16
74,309,0,0,0,0.05
74,313,0,0,0,0.1
74,314,0,0,0,0.05
74,325,0,0,0,0.05
74,328,0,0,0,0.05
74,331,0,0,0,0.1
74,352,0,0,0,0.1
74,345,0,0,0,0.1
74,356,0,0,0,0.1
74,361,0,0,0,0.1
74,7767,0,0,0,0.15
74,343,0,0,10,0.04
74,315,0,0,6,0.05
74,320,0,0,4,0.02
74,317,0,0,0,0.01
74,310,0,0,4,0.01
75,1248,0,0,0,1
76,1265,0,0,0,1
78,23732,0,0,0,0.5
78,23702,0,0,0,0.25
78,23698,0,0,0,0.25
79,1437,0,0,10,0.25
79,1453,0,0,0,0.25
79,1442,0,0,0,0.25
79,1443,0,0,0,0.25
80,319,0,0,0,0.16
80,329,0,0,0,0.17
80,316,0,0,10,0.05
80,343,0,0,10,0.04
80,315,0,0,6,0.05
82,309,0,0,0,0.15
82,313,0,0,0,0.03
82,314,0,0,0,0.1
82,325,0,0,0,0.15
82,328,0,0,0,0.1
82,331,0,0,0,0.04
82,352,0,0,0,0.07
82,345,0,0,0,0.07
82,356,0,0,0,0.03
82,361,0,0,0,0.06
82,316,0,0,10,0.05
82,343,0,0,10,0.04
82,315,0,0,6,0.05
82,320,0,0,4,0.02
82,317,0,0,0,0.01
82,310,0,0,4,0.01
84,309,0,0,0,0.15
84,313,0,0,0,0.03
84,314,0,0,0,0.1
84,325,0,0,0,0.15
84,328,0,0,0,0.1
84,331,0,0,0,0.04
84,352,0,0,0,0.07
84,345,0,0,0,0.07
84,356,0,0,0,0.03
84,361,0,0,0,0.06
84,316,0,0,10,0.05
